laughter,1
um,2
moscow,3
my,4
family,5
moved,6
to,7
the,8
us,9
and,10
then,11
i,12
down,13
here,14
eventually,15
for,16
college,17
uh,18
it,19
took,20
a,21
long,22
time,23
i've,24
been,25
living,26
about,27
year,28
since,29
graduated,30
so,31
there's,32
lot,33
of,34
ups,35
downs,36
but,37
finally,38
gotten,39
adjusted,40
while,41
though,42
goes,43
off,44
on,45
have,46
two,47
roommates,48
always,49
little,50
bit,51
drama,52
there,53
between,54
girls,55
most,56
part,57
after,58
couple,59
months,60
think,61
we,62
learned,63
how,64
live,65
together,66
was,67
pretty,68
much,69
like,70
reality,71
tv,72
show,73
one's,74
from,75
other,76
one,77
found,78
craigslist,79
varies,80
depending,81
whether,82
or,83
not,84
we're,85
mad,86
at,87
each,88
guess,89
close,90
right,91
now,92
kinda,93
distant,94
oh,95
okay,96
well,97
haven't,98
seen,99
hung,100
out,101
in,102
weeks,103
'cause,104
them,105
got,106
into,107
this,108
car,109
accident,110
she's,111
locks,112
herself,113
up,114
her,115
room,116
is,117
working,118
late,119
just,120
our,121
scheduling,122
has,123
no,124
really,125
made,126
an,127
attempt,128
hang,129
with,130
anyone,131
it's,132
kind,133
waiting,134
someone,135
make,136
first,137
move,138
it'll,139
get,140
better,141
depends,142
whom,143
i'm,144
dealing,145
would,146
say,147
some,148
people,149
very,150
good,151
boyfriend,152
that,153
might,154
know,155
able,156
control,157
more,158
be,159
passive,160
aggressive,161
than,162
full,163
anger,164
don't,165
want,166
see,167
me,168
as,169
bitch,170
yeah,171
probably,172
best,173
friend,174
nicole,175
we've,176
friends,177
god,178
high,179
school,180
freshman,181
when,182
met,183
what,184
french,185
class,186
were,187
same,188
started,189
doing,190
homework,191
had,192
classes,193
hanging,194
became,195
closer,196
stayed,197
mhm,198
going,199
bars,200
dancing,201
biking,202
hiking,203
staying,204
active,205
movies,206
eat,207
restaurants,208
photography,209
whatever,210
comes,211
things,212
work,213
those,214
kinds,215
relationships,216
friendships,217
personal,218
discuss,219
superficially,220
rely,221
that's,222
question,223
who,224
again,225
are,226
inconsiderate,227
unthoughtful,228
flakey,229
ignorant,230
conceited,231
cons,232
makes,233
mostly,234
react,235
different,236
situations,237
can,238
angry,239
yesterday,240
argued,241
because,242
he's,243
trying,244
healthy,245
workout,246
save,247
money,248
by,249
he,250
does,251
orders,252
pizza,253
saving,254
being,255
frustrated,256
him,257
constantly,258
push,259
gonna,260
do,261
breaking,262
promises,263
another,264
thing,265
follow,266
through,267
myself,268
xxxx,269
i'll,270
go,271
feel,272
often,273
dang,274
tough,275
'bout,276
getting,277
paid,278
figure,279
quit,280
job,281
hated,282
sitting,283
office,284
all,285
day,286
which,287
thought,288
extremely,289
boring,290
restaurant,291
look,292
second,293
support,294
dream,295
involve,296
i'd,297
love,298
finished,299
product,300
accomplishment,301
towards,302
end,303
something,304
realized,305
result,306
hard,307
majored,308
sociology,309
loved,310
major,311
you,312
realize,313
whole,314
theorizing,315
arguing,316
real,317
solution,318
these,319
theoretical,320
elements,321
can't,322
anything,323
nothing,324
your,325
except,326
piece,327
paper,328
essays,329
notes,330
maybe,331
artistic,332
cooking,333
baking,334
particularly,335
realm,336
used,337
travel,338
known,339
traveling,340
gone,341
gosh,342
seven,343
eight,344
countries,345
lived,346
three,347
four,348
traveled,349
lately,350
jobs,351
tie,352
photographer,353
national,354
geographic,355
awesome,356
huge,357
travels,358
that'd,359
too,360
anyways,361
new,362
places,363
faces,364
experiences,365
restless,366
easily,367
nice,368
cultures,369
types,370
stuck,371
routine,372
hate,373
mundaneness,374
everyday,375
life,376
stir,377
trips,378
talk,379
funny,380
even,381
lots,382
memorable,383
week,384
roadtrip,385
five,386
packed,387
tiny,388
station,389
wagon,390
needless,391
you're,392
proximity,393
camping,394
start,395
others',396
nerves,397
fun,398
many,399
such,400
beauty,401
american,402
landscape,403
around,404
southwest,405
grand,406
canyon,407
zion,408
tetons,409
yellowstone,410
absolutely,411
amazing,412
seeing,413
natural,414
saw,415
grizzly,416
bear,417
black,418
bison,419
wolf,420
cool,421
wonders,422
also,423
amaze,424
aren't,425
man,426
pretentious,427
sounds,428
europe,429
gets,430
old,431
idea,432
white,433
men,434
building,435
great,436
buildings,437
art,438
beautiful,439
wanna,440
easy,441
I,442
sleep,443
grumpy,444
lethargic,445
low,446
energy,447
own,448
world,449
anymore,450
usually,451
enough,452
energizing,453
bad,454
negative,455
circumstances,456
else,457
interested,458
ugh,459
am,460
da,461
market,462
picky,463
sittin,464
cubicle,465
exactly,466
reason,467
why,468
back,469
exact,470
worthwhile,471
last,472
section,473
paycheck,474
barely,475
making,476
opportunity,477
come,478
across,479
give,480
sell,481
soul,482
corporate,483
cubicles,484
mean,485
everyone,486
situation,487
went,488
who's,489
teaching,490
english,491
afghanistan,492
president,493
teach,494
america,495
harvard,496
masters,497
mass,498
ahh,499
comparison,500
sometimes,501
yes,502
hawaii,503
next,504
fine,505
find,506
supposed,507
stressful,508
especially,509
loans,510
pay,511
insurance,512
rent,513
groceries,514
afford,515
way,516
you've,517
education,518
frustrating,519
depression,520
if,521
medically,522
diagnose,523
meds,524
nope,525
let's,526
try,527
afraid,528
fail,529
accept,530
big,531
home,532
would've,533
told,534
self,535
means,536
ten,537
years,538
ago,539
twelve,540
act,541
continued,542
write,543
younger,544
miniature,545
stories,546
short,547
parents,548
stopped,549
tried,550
sports,551
soccer,552
growing,553
expand,554
rather,555
stay,556
never,557
harder,558
level,559
once,560
above,561
any,562
sense,563
super,564
lame,565
watch,566
read,567
listen,568
music,569
take,570
nap,571
bake,572
feet,573
interacting,574
unwind,575
lying,576
couch,577
done,578
accepted,579
pomona,580
wellesley,581
women's,582
east,583
knew,584
chose,585
wrong,586
miserable,587
entire,588
only,589
applied,590
transfer,591
claremont,592
didn't,593
percent,594
acceptance,595
rate,596
chances,597
ridiculous,598
depressing,599
email,600
admission,601
counselors,602
visiting,603
hi,604
tatiana,605
wanted,606
minute,607
questions,608
hope,609
emailing,610
unless,611
sure,612
hours,613
later,614
ecstatic,615
happy,616
mom,617
brother,618
dinner,619
bought,620
dresses,621
crazy,622
dyed,623
hair,624
pierced,625
nose,626
over,627
bubbly,628
moody,629
definitely,630
friendly,631
positive,632
person,633
huh,634
mexico,635
winter,636
sailing,637
trip,638
san,639
clemente,640
walked,641
missions,642
beach,643
bye,644
connecticut,645
actor,646
francisco,647
ninety,648
atlanta,649
six,650
realtor,651
instead,652
discovered,653
lucky,654
talented,655
every,656
city,657
weather,658
tend,659
rude,660
fast,661
pace,662
twenty,663
young,664
estate,665
did,666
crashed,667
times,668
mu,669
m,670
extrovert,671
controlling,672
temper,673
drink,674
alcohol,675
worse,676
ss,677
noise,678
somebody,679
owed,680
west,681
hollywood,682
alone,683
dog,684
neighbors,685
ones,686
upstairs,687
news,688
